keyword,sw
sakar,1.0
staff enough,1.0
negtag_disappointed !,0.9848484848484848
stay perfect,0.9846153846153848
negtag_fault anything,0.978494623655914
thoroughly recommended,0.9782608695652174
overall fantastic,0.978021978021978
already recommended,0.974025974025974
already planning,0.9708737864077672
hotel enough,0.968503937007874
enjoyed every,0.9666666666666668
speak highly,0.9658119658119658
negtag_disappoints,0.9655172413793104
janice,0.9638009049773756
! special,0.9629629629629628
memorable one,0.9625
simply best,0.96
truly memorable,0.958041958041958
recommend highly,0.9555555555555556
great attention,0.9548872180451128
returning soon,0.9545454545454546
second home,0.9545454545454546
kanley,0.952
another wonderful,0.9518072289156626
highly enough,0.949238578680203
definitely return,0.943716268311488
definately return,0.9428571428571428
attentive without,0.9425287356321842
return soon,0.9414634146341464
defiantly stay,0.9396984924623116
brilliant stay,0.9386503067484664
hotel highly,0.9382716049382716
would thoroughly,0.9368421052631579
defiantly recommend,0.9338842975206612
back soon,0.9312602291325696
fabulous stay,0.9310344827586208
rubber duck,0.9302325581395348
back emojipos,0.9285714285714286
excellent stay,0.9267676767676768
every need,0.9254901960784314
thoroughly recommend,0.9234042553191488
definitely coming,0.9207920792079208
special thanks,0.9197080291970804
wonderful stay,0.9193916349809886
brilliant hotel,0.918552036199095
hotel exceeded,0.9183673469387756
heartbeat,0.9151193633952256
great find,0.9150141643059492
new favourite,0.9139784946236559
absolutely stay,0.9130434782608696
done hoteltag,0.9130434782608696
negtag_stay anywhere,0.9117647058823528
friendly without,0.9115044247787608
huge thank,0.9115044247787608
especially loved,0.9111111111111112
hari,0.9107142857142856
definitely visit,0.9101796407185628
definitely stay,0.909099794741472
special thank,0.9090909090909092
definitely come,0.908675799086758
definately recommend,0.9081967213114754
comfiest bed,0.9069767441860463
! highly,0.9061583577712612
loved every,0.9054545454545454
real find,0.9047619047619048
recommended !,0.9044862518089724
fantastic stay,0.9044585987261148
amazing stay,0.9037433155080212
! beautiful,0.9034482758620692
absolutely recommend,0.9030303030303032
like royalty,0.9030303030303032
highly recommended,0.9029668411867364
mention must,0.902439024390244
negtag_stuffy,0.9
enough good,0.8979591836734694
definitely book,0.897887323943662
perfect size,0.8974358974358975
negtag_rushed,0.8969072164948454
fault anything,0.8962962962962963
would highly,0.8959958398335933
helped make,0.8959537572254336
jorge,0.8958333333333334
overall excellent,0.8958333333333334
stay memorable,0.8955823293172691
would negtag_hesitate,0.8954501452081317
another great,0.8953846153846153
definitely recommend,0.8953656024716787
best hoteltag,0.8947368421052632
exceptional staff,0.8936170212765957
find fault,0.8928571428571429
recommend !,0.8913907284768212
amazing room,0.8913043478260869
great recommendations,0.8913043478260869
service impeccable,0.8913043478260869
superb hotel,0.8905472636815921
wonderful experience,0.8899755501222494
certainly return,0.8897338403041825
nadler soho,0.8896551724137931
huge comfy,0.8888888888888888
perfect choice,0.8883720930232558
highly recommend,0.8872508550536621
fabulous hotel,0.8870588235294118
small complaint,0.8863636363636364
negtag_fails,0.8861788617886179
fantastic hotel,0.8848167539267016
absolute gem,0.8837209302325582
royalty,0.8835274542429284
absolutely delicious,0.8833333333333333
always pleasure,0.8832116788321168
thoroughly enjoyable,0.8831168831168831
gem !,0.8829787234042553
fully recommend,0.8823529411764706
loved everything,0.8823529411764706
simply perfect,0.8823529411764706
blue boar,0.8809523809523809
picked better,0.8809523809523809
outstanding staff,0.8795180722891566
suite overlooking,0.8787878787878788
cant wait,0.8780487804878049
exceptional customer,0.8780487804878049
negtag_hesitate,0.8775205377147125
thoroughly enjoyed,0.8768790264853257
wonderful hotel,0.8767676767676768
heart beat,0.875
totally recommend,0.875
say enough,0.8746268656716418
real pleasure,0.8740157480314961
breakfast delicious,0.8736842105263158
much trouble,0.8726819817326321
fantastic experience,0.8716216216216216
absolutely loved,0.8715596330275229
slight downside,0.8703703703703703
outstanding hotel,0.8695652173913043
ampersand,0.8693181818181818
would defiantly,0.8689458689458689
truly wonderful,0.8688524590163934
big thank,0.8685831622176592
wonderful nights,0.8679245283018868
negtag_intrusive,0.8674033149171271
beaumont,0.8666666666666667
definetly stay,0.8666666666666667
exceeded expectations,0.8666666666666667
definately stay,0.8658385093167702
amazing service,0.864951768488746
room spotless,0.8646616541353384
perfect start,0.8640776699029126
great team,0.8636363636363636
shall definitely,0.8636363636363636
soon !,0.8635658914728682
lovely toiletries,0.8630136986301371
perfect way,0.8625954198473282
excellent hotel,0.8618654073199528
simply stunning,0.8613861386138614
excelled,0.8604651162790697
certainly recommend,0.8600269179004038
milestone hotel,0.86
loved room,0.8591549295774648
excellent facilities,0.8589743589743589
home away,0.8588235294117647
spotless bathroom,0.8588235294117647
amazing hotel,0.8586956521739131
certainly book,0.8584070796460177
superb staff,0.8584070796460177
every member,0.8583106267029973
especially enjoyed,0.8582677165354331
divine,0.8581560283687943
possibly need,0.8577777777777778
much enjoyed,0.8576271186440678
highly professional,0.8571428571428571
birthday card,0.8567493112947658
lovely surprise,0.8563218390804598
citytag home,0.8556701030927835
superb service,0.8543689320388349
amazing staff,0.8537859007832899
fantastic service,0.8537859007832899
definitely go,0.8533568904593639
beautifully presented,0.8531645569620253
great stay,0.8530026889752017
great hospitality,0.8526315789473684
truly enjoyed,0.8526315789473684
def stay,0.8518518518518519
praise staff,0.8518518518518519
fantastic staff,0.8516129032258064
beautifully furnished,0.8512396694214877
birthday cake,0.8506588579795022
like home,0.8504672897196262
excellent experience,0.8489208633093526
brilliant staff,0.8484848484848485
beautifully appointed,0.8483412322274881
wonderful surprise,0.8476190476190476
fab hotel,0.8473282442748091
little gem,0.8472553699284008
worth every,0.8461538461538461
exquisite,0.8440207972270364
chesterfield mayfair,0.8433179723502304
impeccably clean,0.8433179723502304
certainly come,0.8428571428571429
negtag_do enough,0.8420221169036335
many thanks,0.8413793103448276
fabulous staff,0.8409090909090909
great work,0.8409090909090909
every amenity,0.8405797101449275
julian,0.8405797101449275
scotland yard,0.8394160583941606
also amazing,0.8378378378378378
churchill war,0.8378378378378378
bravo,0.8373983739837398
lovely touch,0.8373333333333334
memorable stay,0.8372093023255814
negtag_disappointed,0.8367346938775511
extremely impressed,0.8358208955223879
oozes,0.8356164383561644
happily return,0.8354430379746836
! fantastic,0.8352941176470589
like family,0.8352941176470589
exceeded,0.8351477449455676
hazel,0.8350515463917526
excellent choice,0.8349928876244666
! love,0.8333333333333334
! loved,0.8333333333333334
excellent condition,0.8333333333333334
wonderful afternoon,0.8333333333333334
wonderful service,0.8327272727272728
amazing time,0.8325581395348837
loved staying,0.8314606741573034
far exceeded,0.8307692307692308
exceptional value,0.8297872340425532
perfect stay,0.8290993071593533
slight negative,0.8290598290598291
extra special,0.8279569892473119
spotless !,0.8279569892473119
wonderful staff,0.8277511961722488
ampersand hotel,0.8271604938271605
great family,0.8271604938271605
enjoyed afternoon,0.8260869565217391
enjoyed wonderful,0.8260869565217391
one criticism,0.8260869565217391
outstanding !,0.8253275109170306
definitely use,0.8252032520325203
shadwell,0.825
big thanks,0.8245614035087719
rose petals,0.8242677824267782
wonderful breakfast,0.8237885462555066
certainly go,0.8232558139534883
amazingly quiet,0.8230088495575221
wonderfully comfortable,0.8230088495575221
celebrated,0.8228782287822878
scrumptious,0.8227848101265823
boar,0.8222222222222222
warm smile,0.8222222222222222
negtag_have asked,0.8219895287958116
every detail,0.8217821782178217
special place,0.8207547169811321
always attentive,0.8202247191011236
excellent rooms,0.8202247191011236
impeccable,0.8196825396825397
good work,0.8191489361702128
outstanding service,0.818815331010453
impeccably,0.8177339901477833
negtag_hesitation,0.8175270108043218
incredibly quiet,0.8160919540229885
super hotel,0.8160919540229885
happily recommend,0.8159509202453987
amazing experience,0.8154761904761905
could wish,0.8151815181518152
gorgeous !,0.8148148148148148
best hotel,0.8144329896907216
extremely pleased,0.8135593220338984
fantastic value,0.8133333333333334
excellent room,0.8131868131868132
excellent friendly,0.8117647058823529
team !,0.8117647058823529
stay great,0.8113207547169812
went extra,0.8106508875739645
fantastic choice,0.8105263157894737
surpassed,0.8099173553719008
definitely recommended,0.8095238095238095
! thank,0.8084227910817506
certainly stay,0.8082975679542204
wonderful place,0.8076923076923077
real gem,0.8074866310160428
always recommend,0.8064516129032258
sublime,0.8061224489795918
perfect base,0.8056680161943321
extremely attentive,0.8055555555555556
lovely boutique,0.8053097345132744
anyone visiting,0.805
delightful hotel,0.8048780487804879
fabulous service,0.8048780487804879
negtag_fault hotel,0.8048780487804879
absolutely fabulous,0.8045112781954887
war rooms,0.8045112781954887
future citytag,0.8043478260869565
amazing value,0.8041237113402062
would definitely,0.8041173654332809
definately go,0.8039215686274509
perfect service,0.8032786885245902
special mention,0.8029850746268656
brian,0.8024691358024691
fabulous room,0.801980198019802
food delicious,0.801980198019802
wonderful food,0.801980198019802
! wonderful,0.8018018018018018
wonderful weekend,0.8015267175572519
relaxing atmosphere,0.8014184397163121
! excellent,0.8011363636363636
absolute delight,0.8
covered strawberries,0.8
devine,0.8
fabulous time,0.8
beautifully decorated,0.7993019197207679
impeccable service,0.7974683544303798
lovely stay,0.7974322396576321
return !,0.7973333333333333
overall great,0.7966573816155988
always welcoming,0.7962962962962963
huge selection,0.7956989247311828
look negtag_further,0.7956204379562044
genuinely friendly,0.7954545454545454
sanctuary house,0.7954545454545454
sebastian,0.7952755905511811
lovely experience,0.7952218430034129
delicious !,0.7950664136622391
really enjoyed,0.7949886104783599
already looking,0.7945205479452054
hidden gem,0.7938718662952646
gladly stay,0.7936507936507936
would totally,0.7936507936507936
milestone,0.7936210131332082
defo stay,0.7931034482758621
personalized,0.7931034482758621
best breakfast,0.7928286852589641
fantastic time,0.7927927927927928
montague,0.7927590511860175
great cocktails,0.7927461139896373
lovely touches,0.7924528301886793
superb value,0.7924528301886793
gem,0.7918552036199095
enjoyed numbertag,0.7913043478260869
stayed longer,0.7912621359223301
far best,0.7907801418439716
also loved,0.7906976744186046
chocolate covered,0.7906976744186046
extra touches,0.7904761904761904
great tv,0.7904761904761904
knowledgeable staff,0.7904761904761904
beautifully cooked,0.7894736842105263
excellent standard,0.7894736842105263
lovely comfortable,0.7894736842105263
staying anywhere,0.7894736842105263
absolutely amazing,0.7892030848329049
fantastic place,0.7890295358649789
criticism would,0.7888888888888889
chesterfield,0.7888563049853372
nadler kensington,0.7884615384615384
petals,0.7879282218597063
whole team,0.7876106194690266
exceptional !,0.7868852459016393
exceptional service,0.7859154929577464
always excellent,0.7857142857142857
delicious breakfast,0.7857142857142857
fantastic room,0.7857142857142857
one slight,0.7857142857142857
unforgettable,0.7857142857142857
look forward,0.78515625
unobtrusive,0.7847533632286996
excellent.we,0.7843137254901961
particularly liked,0.7843137254901961
great buffet,0.7841726618705036
possibly want,0.7841726618705036
westminster abby,0.7841726618705036
would definetly,0.7841726618705036
also enjoyed,0.7840616966580977
comfy rooms,0.7837837837837838
sommelier,0.7831325301204819
absolute pleasure,0.7821782178217822
immaculate,0.7815049864007253
extremely accommodating,0.7810218978102191
remembered us,0.7810218978102191
best ever,0.7804878048780488
loved fact,0.7804878048780488
nicest hotels,0.7802197802197802
halkin,0.78
relaxed atmosphere,0.78
amazing food,0.7790697674418605
lovely clean,0.7781954887218046
elemis products,0.7777777777777778
happy anniversary,0.7777777777777778
incredibly comfortable,0.7777777777777778
nicest hotel,0.7777777777777778
westminster underground,0.7777777777777778
xx,0.7777777777777778
excellent value,0.7776901852581789
without hesitation,0.7773851590106007
delicious food,0.7763157894736842
like coming,0.7759999999999999
heartily recommend,0.7755102040816326
happily stay,0.7751322751322751
absolutely love,0.775
james tube,0.775
beautiful bathroom,0.7748344370860927
brilliant service,0.7744360902255639
fabulous breakfast,0.7739130434782608
claudia,0.7735849056603774
stay special,0.7733990147783252
refreshing change,0.7731958762886598
cheval,0.7730496453900709
amongst best,0.7727272727272727
helpful without,0.7727272727272727
loved breakfast,0.7727272727272727
truly lovely,0.7727272727272727
wonderful time,0.7726315789473684
also perfect,0.7718120805369127
particularly enjoyed,0.7718120805369127
shall certainly,0.7714285714285715
appointed rooms,0.7712418300653595
great facilities,0.7711864406779662
thoughtful,0.7709563164108618
understated,0.7708978328173375
caring staff,0.7708333333333334
caxton,0.7708333333333334
say big,0.7708333333333334
nadler,0.7707317073170732
enjoyed lovely,0.7704918032786885
concierge helped,0.7701149425287356
james park,0.7699594046008119
everyone !,0.7688442211055276
fantastic food,0.7685950413223142
extremely welcoming,0.7679558011049724
highest standard,0.7674418604651163
stunning !,0.7674418604651163
happy birthday,0.7671957671957672
great amenities,0.7669902912621359
would definately,0.7669565217391304
extremely comfortable,0.7668067226890757
loved decor,0.7666666666666667
highly,0.7666644732512996
oasis,0.7663817663817664
gorgeous hotel,0.7662337662337663
would numbertag,0.7662337662337663
! amazing,0.7660818713450293
extremely efficient,0.7660818713450293
luxuriously,0.7659574468085106
negtag_disappoint,0.7655571635311144
great bonus,0.7655172413793103
food excellent,0.7652582159624414
personalised,0.7651821862348178
! keep,0.7647058823529411
bettered,0.7647058823529411
simply amazing,0.7647058823529411
would definatly,0.7647058823529411
beautiful room,0.7644859813084112
totally worth,0.7634408602150538
could want,0.7628205128205128
paula,0.7623762376237624
waterloo underground,0.7623762376237624
certainly use,0.7615894039735099
beautiful decor,0.7610062893081762
unforgettable experience,0.7608695652173914
recommend stay,0.7606382978723404
beautifully,0.7604509159229685
loved place,0.76
portrait gallery,0.76
st. ermin,0.76
also upgraded,0.7592592592592593
amazing shower,0.7592592592592593
truly amazing,0.7586206896551724
every staff,0.7582417582417582
super comfortable,0.7580340264650284
nothing negative,0.7575757575757576
citytag easy,0.7560975609756098
draycott,0.7560975609756098
genuinely interested,0.7560975609756098
modern conveniences,0.7560975609756098
stay emojipos,0.7555555555555555
discrete,0.7553956834532374
thanks guys,0.7551020408163265
excellent place,0.7547683923705722
complimentary snacks,0.7547169811320755
fault place,0.7547169811320755
love staying,0.7543859649122807
recommend hoteltag,0.7539432176656151
excellent service,0.7536517962889854
beautifully clean,0.7532467532467533
great ambience,0.7530864197530864
monika,0.7530864197530864
rooms great,0.7530864197530864
rooms spotless,0.7530864197530864
love fact,0.7528089887640449
wonderful !,0.7528089887640449
great advice,0.7525773195876289
return next,0.7524752475247525
wishing us,0.7522123893805309
beyond call,0.751937984496124
especially helpful,0.751937984496124
elemis toiletries,0.7517241379310344
thank staff,0.7517241379310344
exceptionally clean,0.7514792899408284
kids loved,0.7512437810945274
another nice,0.75
beat !,0.75
complimentary mini,0.75
give special,0.75
room lovely,0.75
single staff,0.75
well recommended,0.75
definitely consider,0.7489539748953975
negtag_be disappointed,0.7486910994764397
! perfect,0.7480314960629921
heated floors,0.7480314960629921
smoothies,0.7480314960629921
real treat,0.7477064220183486
especially liked,0.7474747474747475
great local,0.7473684210526316
really wonderful,0.7473684210526316
scrupulously clean,0.7473684210526316
complimentary soft,0.7469879518072289
immaculately clean,0.7469050894085282
always enjoy,0.7468354430379747
delicious,0.7466910086718394
best stay,0.7466666666666667
beautiful rooms,0.7464788732394366
provided excellent,0.7461928934010152
excellent staff,0.7461300309597523
lovely atmosphere,0.7460317460317459
really loved,0.7452229299363057
great rooms,0.7451612903225806
excellent quality,0.7448979591836735
adored,0.7446808510638298
citytag emojipos,0.7441860465116279
happy staff,0.7441860465116279
also excellent,0.7440585009140768
superb breakfast,0.7440000000000001
really enjoyable,0.7439024390243902
cocktails !,0.7431192660550459
extremely clean,0.7431192660550459
national theatre,0.7431192660550459
super clean,0.7425373134328358
best hotels,0.7425227568270482
egerton,0.7424242424242424
! super,0.7419354838709677
great drinks,0.7419354838709677
great modern,0.7419354838709677
extremely courteous,0.7415730337078652
sensational,0.7413793103448276
effortlessly,0.7411764705882353
thankyou,0.7407407407407407
every penny,0.7402190923317684
butler service,0.74
excellent throughout,0.74
downing street,0.7397260273972602
darren,0.7391304347826086
fabulous !,0.7391304347826086
old friends,0.7391304347826086
royal mews,0.7379310344827587
welcoming hotel,0.7379310344827587
would absolutely,0.7368421052631579
hms belfast,0.7365853658536585
big comfortable,0.7364341085271318
gripe would,0.7362637362637363
amazing !,0.7359029264810849
warmly greeted,0.7358490566037735
extra mile,0.7358121330724069
jane,0.7352941176470589
absolutely stunning,0.7351598173515982
best places,0.7348066298342542
perfect spot,0.7348066298342542
returning next,0.7346938775510204
negtag_to like,0.7341040462427746
abby,0.7340425531914894
heavenly,0.7338709677419355
well worth,0.7336122733612274
behind citytag,0.7333333333333333
heated bathroom,0.7333333333333333
highest quality,0.7333333333333333
remembers,0.7333333333333333
shall return,0.7333333333333333
loved hotel,0.7329700272479565
immaculately,0.7324973876698014
lovely afternoon,0.732484076433121
hesitation,0.7322175732217573
always willing,0.7320574162679426
huge bed,0.7317073170731707
loved,0.7314892641552686
great atmosphere,0.7310924369747899
elemis,0.7305699481865285
fresh juices,0.7303370786516854
comfiest,0.7301587301587301
great touch,0.729957805907173
gherkin,0.7295373665480427
absolutely spotless,0.7290322580645161
incredibly friendly,0.7289719626168224
balloons,0.7288888888888889
wonderfully,0.7287839020122485
amazing views,0.7285714285714285
anniversary !,0.7283950617283951
excellent selection,0.7283950617283951
pleasure !,0.7283950617283951
room excellent,0.7283950617283951
special !,0.7281553398058253
super quiet,0.7281553398058253
entire staff,0.7270194986072424
heard negtag_noise,0.7266187050359713
perfectly formed,0.7265625
francesco,0.7264957264957265
everything one,0.7264150943396226
favourite place,0.7263157894736842
nelson,0.7263157894736842
special touches,0.7263157894736842
goring,0.7260869565217392
fantastic weekend,0.7258064516129032
would def,0.7258064516129032
definately use,0.7254901960784313
great bathroom,0.7254901960784313
parliment,0.7254901960784313
! brilliant,0.725
amazing.the,0.725
recommend visit,0.7247706422018348
! thanks,0.7245080500894454
great hotel,0.7241511605601381
best bed,0.7241379310344828
little boutique,0.7241379310344828
tasty !,0.7241379310344828
first class,0.7239316239316239
always ready,0.7237851662404092
best food,0.7234042553191491
standout,0.7227722772277227
ermin,0.7227138643067846
little touches,0.7225891677675033
great choice,0.7224489795918367
congratulated,0.7217391304347827
faultless,0.7216035634743875
exemplary,0.7212389380530974
always greeted,0.7211155378486056
chocolate factory,0.7209302325581395
great vibe,0.7205882352941176
first rate,0.7205240174672489
ate free,0.72
minor gripe,0.72
scrupulously,0.72
future trips,0.7198443579766537
greeted warmly,0.7196261682242991
hms,0.7194570135746606
definitely going,0.7192982456140351
much bother,0.7192982456140351
huge variety,0.71900826446281
excellent buffet,0.71875
staff went,0.7178294573643411
fatima,0.7176470588235294
really went,0.7175141242937854
! lovely,0.7171717171717171
best citytag,0.7168141592920354
warmly welcomed,0.7164750957854407
extremely spacious,0.7164179104477612
need including,0.7163120567375887
great restaurant,0.7162629757785467
attentive staff,0.7158469945355191
quality toiletries,0.7156862745098039
lovely rooms,0.7155963302752294
absolutely wonderful,0.7142857142857143
bonus !,0.7142857142857143
expertly,0.7142857142857143
fantastic shower,0.7142857142857143
good care,0.7142857142857143
guided us,0.7142857142857143
homely feel,0.7142857142857143
must visit,0.7142857142857143
perfect !,0.7142857142857143
rooms lovely,0.7142857142857143
treat !,0.7142857142857143
comfortable rooms,0.7140612725844462
lovely bathroom,0.7131474103585658
impressed !,0.7127071823204421
incredibly helpful,0.7125
top quality,0.7124735729386892
huge windows,0.7117117117117117
excellent nights,0.7115384615384616
fresh flowers,0.7114427860696517
definitely choose,0.711340206185567
perfection,0.7111716621253406
downing,0.7111111111111111
welcoming staff,0.7107438016528925
made great,0.710691823899371
fantastic breakfast,0.7100371747211895
top-notch,0.7094972067039106
memorable,0.7091578462954441
best nights,0.7089552238805971
brilliant value,0.7087378640776699
negtag_been disappointed,0.7087378640776699
arosfa,0.7085427135678392
anyone traveling,0.7083333333333334
lovely modern,0.7083333333333334
lovely spacious,0.7083333333333334
phenomenal,0.7083333333333334
would definatley,0.7083333333333334
base2stay,0.7079646017699115
food great,0.7078651685393258
national gallery,0.7078651685393258
warmly,0.7078651685393258
would happily,0.7075180226570545
wonderful,0.7071798221373662
gave great,0.7068965517241379
touch !,0.7068062827225131
lovely quiet,0.7066666666666667
stunning hotel,0.7066666666666667
simone,0.7065217391304348
! friendly,0.7064220183486238
great way,0.7063829787234043
lovely selection,0.7058823529411765
spotlessly clean,0.7058823529411765
elegantly,0.7052631578947368
service great,0.7052631578947368
overlooking thames,0.7051282051282052
offered great,0.7049180327868853
prefect,0.7045454545454546
lush,0.7043478260869566
