keyword,sentiment,sw,,,,,,,,,,
! amazing,Positive,0.766081871,,,,,,,,,,
! avoid,Negetive,-0.93594306,,,,,,,,,,
! beautiful,Positive,0.903448276,,,,,,,,,,
! best,Positive,0.342756184,,,,,,,,,,
! brilliant,Positive,0.725,,,,,,,,,,
! clean,Positive,0.634146341,,,,,,,,,,
! complimentary,Positive,0.558139535,,,,,,,,,,
! dirty,Negetive,-1,,,,,,,,,,
! disgusting,Negetive,-1,,,,,,,,,,
! excellent,Positive,0.801136364,,,,,,,,,,
! fantastic,Positive,0.835294118,,,,,,,,,,
! friendly,Positive,0.706422018,,,,,,,,,,
! great,Positive,0.677237491,,,,,,,,,,
! love,Positive,0.833333333,,,,,,,,,,
! loved,Positive,0.833333333,,,,,,,,,,
! lovely,Positive,0.717171717,,,,,,,,,,
! negtag_again,Negetive,-0.973509934,,,,,,,,,,
! negtag_good,Negetive,-0.784615385,,,,,,,,,,
! nice,Positive,0.36199095,,,,,,  ,,,,
! noise,Negetive,-0.752380952,,,,,,,,,,
! perfect,Positive,0.748031496,,,,,,,,,,
! poor,Negetive,-0.855855856,,,,,,,,,,
! special,Positive,0.962962962962963,,,,,,,,,,
! super,Positive,0.741935484,,,,,,,,,,
! terrible,Negetive,-0.927927928,,,,,,,,,,
! wonderful,Positive,0.801801802,,,,,,,,,,
! worst,Negetive,-0.953757225,,,,,,,,,,
abandoned,Negetive,-0.77540107,,,,,,,,,,
abrupt,Negetive,-0.837037037,,,,,,,,,,
abruptly,Negetive,-0.842105263,,,,,,,,,,
absolute bargain,Positive,0.585365853658537,,,,,,,,,,   
absolute delight,Positive,0.8,,,,,,,,,,
absolute disgrace,Negetive,-0.984962406,,,,,,,,,,
absolute gem,Positive,0.88372093,,,,,,,,,,
absolute nightmare,Negetive,-0.88372093,,,,,,,,,,
absolute pleasure,Positive,0.782178218,,,,,,,,,,
absolute worst,Negetive,-0.975609756,,,,,,,,,,
absolutely amazing,Positive,0.789203085,,,,,,,,,,
absolutely appalling,Negetive,-0.976744186,,,,,,,,,,
absolutely awful,Negetive,-0.922222222,,,,,,,,,,
